"","THC.Open","THC.High","THC.Low","THC.Close","THC.Volume","THC.Adjusted"
"2007-02-16",7.33,7.34,7.26,7.32,614100,29.28
"2007-02-20",7.38,7.67,7.35,7.5,1463700,30
"2007-02-21",7.47,7.53,7.45,7.48,419200,29.92
"2007-02-22",7.51,7.57,7.46,7.52,498400,30.08
"2007-02-23",7.49,7.51,7.38,7.44,457500,29.76
"2007-02-26",7.4,7.55,7.33,7.5,599200,30
"2007-02-27",7.44,7.45,6.77,6.91,1843500,27.64
"2007-02-28",6.94,6.96,6.75,6.82,1445200,27.28
"2007-03-01",6.74,6.77,6.51,6.6,1581600,26.4
"2007-03-02",6.57,6.61,6.21,6.43,1862600,25.72
"2007-03-05",6.42,6.53,6.33,6.4,1077400,25.6
"2007-03-06",6.41,6.48,6.3,6.36,1180500,25.44
"2007-03-07",6.36,6.51,6.33,6.46,1344000,25.84
"2007-03-08",6.28,6.55,6.28,6.44,1010400,25.76
"2007-03-09",6.44,6.48,6.33,6.36,712600,25.44
"2007-03-12",6.34,6.4,6.29,6.31,638800,25.24
"2007-03-13",6.3,6.38,6.18,6.21,1065400,24.84
"2007-03-14",6.21,6.34,6.19,6.31,1363200,25.24
"2007-03-15",6.31,6.33,6.28,6.31,997600,25.24
"2007-03-16",6.33,6.41,6.24,6.35,1695200,25.4
"2007-03-19",6.36,6.51,6.36,6.5,690900,26
"2007-03-20",6.5,6.53,6.45,6.51,598200,26.04
"2007-03-21",6.5,6.62,6.47,6.62,1479500,26.48
"2007-03-22",6.67,6.84,6.3,6.81,1455400,27.24
"2007-03-23",6.81,6.83,6.47,6.71,833000,26.84
"2007-03-26",6.69,6.69,6.58,6.67,915000,26.68
"2007-03-27",6.68,6.7,6.5,6.52,783500,26.08
"2007-03-28",6.49,6.52,6.4,6.48,1284000,25.92
"2007-03-29",6.5,6.52,6.38,6.44,803300,25.76
"2007-03-30",6.4,6.47,6.4,6.43,575900,25.72
"2007-04-02",6.45,6.45,6.4,6.42,948700,25.68
"2007-04-03",6.5,6.63,6.43,6.63,1163300,26.52
"2007-04-04",6.61,6.64,6.52,6.61,809700,26.44
"2007-04-05",6.6,6.75,6.59,6.73,660600,26.92
"2007-04-09",6.8,6.96,6.78,6.93,1530700,27.72
"2007-04-10",6.93,7.01,6.91,6.99,1242300,27.96
"2007-04-11",6.99,7,6.84,6.87,965900,27.48
"2007-04-12",6.8,7.08,6.8,7.07,1439700,28.28
"2007-04-13",7.05,7.17,6.91,7.03,1112400,28.12
"2007-04-16",7.22,7.3,7.04,7.11,746700,28.44
"2007-04-17",7.11,7.19,7.11,7.19,722700,28.76
"2007-04-18",7.15,7.21,7.07,7.17,820800,28.68
"2007-04-19",7.15,7.2,7.09,7.2,604400,28.8
"2007-04-20",7.27,7.45,7.24,7.41,1559400,29.64
"2007-04-23",7.42,7.42,7.29,7.36,642900,29.44
"2007-04-24",7.38,7.47,7.34,7.44,1218600,29.76
"2007-04-25",7.48,7.59,7.44,7.54,1328800,30.16
"2007-04-26",7.51,7.59,7.44,7.5,1016600,30
"2007-04-27",7.5,7.51,7.42,7.5,770800,30
"2007-04-30",7.5,7.5,7.42,7.42,868400,29.68
"2007-05-01",7.42,7.43,7.32,7.4,730700,29.6
"2007-05-02",7.41,7.49,7.32,7.41,1368900,29.64
"2007-05-03",7.4,7.46,7.35,7.4,1317100,29.6
"2007-05-04",7.45,7.47,7.38,7.47,635200,29.88
"2007-05-07",7.48,7.8,7.46,7.63,1365800,30.52
"2007-05-08",7.7,7.76,7.22,7.26,2980700,29.04
"2007-05-09",7.18,7.2,6.89,7.01,2832400,28.04
"2007-05-10",6.96,7.14,6.93,7.06,1996000,28.24
"2007-05-11",7.06,7.07,6.88,6.97,1735600,27.88
"2007-05-14",6.99,7.06,6.9,6.93,1073700,27.72
"2007-05-15",6.93,7.01,6.91,6.97,1388500,27.88
"2007-05-16",6.98,7.05,6.92,7.03,1489200,28.12
"2007-05-17",7.03,7.05,6.93,6.96,1161700,27.84
"2007-05-18",6.99,7.01,6.83,6.88,2488200,27.52
"2007-05-21",6.83,6.84,6.74,6.76,1366000,27.04
"2007-05-22",6.79,6.98,6.74,6.91,1180300,27.64
"2007-05-23",6.92,6.98,6.87,6.95,1477600,27.8
"2007-05-24",6.95,7,6.87,6.89,1341100,27.56
"2007-05-25",6.9,6.92,6.82,6.87,773000,27.48
"2007-05-29",6.89,6.93,6.85,6.87,560500,27.48
"2007-05-30",6.84,6.95,6.83,6.95,519100,27.8
"2007-05-31",6.97,7.11,6.9,6.95,1951800,27.8
"2007-06-01",6.98,7.04,6.96,7.02,1240800,28.08
"2007-06-04",7.02,7.16,6.99,7.16,1163100,28.64
"2007-06-05",7.14,7.19,6.96,7.03,1683700,28.12
"2007-06-06",7.04,7.04,6.75,6.9,2446600,27.6
"2007-06-07",6.9,6.9,6.77,6.78,1437200,27.12
"2007-06-08",6.78,6.88,6.76,6.84,1522400,27.36
"2007-06-11",6.81,6.88,6.77,6.84,1448300,27.36
"2007-06-12",6.79,6.89,6.71,6.71,1822500,26.84
"2007-06-13",6.72,6.74,6.61,6.73,1231600,26.92
"2007-06-14",6.72,6.73,6.59,6.65,1650400,26.6
"2007-06-15",6.66,7.05,6.58,6.72,1414900,26.88
"2007-06-18",6.72,6.85,6.72,6.75,925600,27
"2007-06-19",6.75,6.75,6.62,6.75,1724000,27
"2007-06-20",6.75,6.77,6.61,6.63,1015100,26.52
"2007-06-21",6.55,6.65,6.49,6.63,1366800,26.52
"2007-06-22",6.59,6.67,6.53,6.59,1618700,26.36
"2007-06-25",6.58,6.59,6.48,6.5,1322200,26
"2007-06-26",6.55,6.57,6.41,6.43,2328400,25.72
"2007-06-27",6.4,6.49,6.38,6.46,1579400,25.84
"2007-06-28",6.41,6.53,6.37,6.41,1539600,25.64
"2007-06-29",6.41,6.53,6.39,6.51,1870000,26.04
"2007-07-02",6.51,6.57,6.43,6.56,1517400,26.24
"2007-07-03",6.57,6.67,6.57,6.67,833200,26.68
"2007-07-05",6.67,6.8,6.66,6.68,1269800,26.72
"2007-07-06",6.69,6.69,6.52,6.59,1318800,26.36
"2007-07-09",6.59,6.63,6.53,6.57,1913400,26.28
"2007-07-10",6.54,6.59,6.42,6.45,2153000,25.8
"2007-07-11",6.5,6.56,6.43,6.53,1495100,26.12
"2007-07-12",6.53,6.6,6.5,6.57,2077200,26.28
"2007-07-13",6.59,6.62,6.54,6.57,1644000,26.28
"2007-07-16",6.55,6.64,6.52,6.61,1706600,26.44
"2007-07-17",6.56,6.6,6.45,6.49,2951900,25.96
"2007-07-18",6.51,6.53,6.32,6.45,2681000,25.8
"2007-07-19",6.45,6.5,6.29,6.31,1867000,25.24
"2007-07-20",6.27,6.35,6.13,6.18,2012800,24.72
"2007-07-23",6.13,6.13,5.92,6.02,4296000,24.08
"2007-07-24",5.97,6.05,5.85,5.94,3311800,23.76
"2007-07-25",5.94,5.96,5.76,5.82,1861600,23.28
"2007-07-26",5.79,5.8,5.42,5.55,2970400,22.2
"2007-07-27",5.55,5.59,5.45,5.55,3324500,22.2
"2007-07-30",5.55,5.68,5.34,5.35,2136600,21.4
"2007-07-31",5.41,5.41,5.16,5.18,2474500,20.72
"2007-08-01",5.18,5.22,4.89,5.12,2817900,20.48
"2007-08-02",5.06,5.22,5.05,5.12,1175800,20.48
"2007-08-03",5.09,5.12,4.85,4.86,1465400,19.44
"2007-08-06",4.91,5.23,4.83,4.94,3643800,19.76
"2007-08-07",4.77,4.95,3.9,4.15,6868600,16.6
"2007-08-08",4.21,4.45,3.93,4.39,6668400,17.56
"2007-08-09",4.47,5.09,4.36,4.66,5047200,18.64
"2007-08-10",4.7,4.72,4.4,4.46,3843200,17.84
"2007-08-13",4.36,4.48,4.28,4.41,2737200,17.64
"2007-08-14",4.34,4.38,4.25,4.25,1265800,17
"2007-08-15",4.25,4.33,3.99,4.02,2488200,16.08
"2007-08-16",3.96,4,3.56,3.78,7401500,15.12
"2007-08-17",3.93,4.01,3.72,3.8,6072000,15.2
"2007-08-20",3.8,3.83,3.7,3.72,2074300,14.88
"2007-08-21",3.72,3.74,3.63,3.68,2612900,14.72
"2007-08-22",3.7,3.84,3.69,3.78,3295700,15.12
"2007-08-23",3.78,3.92,3.77,3.78,4036200,15.12
"2007-08-24",3.8,3.87,3.63,3.67,3979500,14.68
"2007-08-27",3.81,3.82,3.63,3.68,6298000,14.72
"2007-08-28",3.66,3.67,3.29,3.34,18389500,13.36
"2007-08-29",3.45,3.48,3.23,3.4,4980000,13.6
"2007-08-30",3.35,3.48,3.35,3.41,3793000,13.64
"2007-08-31",3.41,3.53,3.37,3.39,3688000,13.56
"2007-09-04",3.37,3.4,3.31,3.35,2182300,13.4
"2007-09-05",3.32,3.43,3.27,3.4,2342600,13.6
"2007-09-06",3.35,3.54,3.35,3.5,2907800,14
"2007-09-07",3.45,3.51,3.44,3.48,3868500,13.92
"2007-09-10",3.46,3.48,3.3,3.33,2932600,13.32
"2007-09-11",3.39,3.4,3.23,3.35,2262600,13.4
"2007-09-12",3.31,3.5,3.31,3.4,2254400,13.6
"2007-09-13",3.42,3.43,3.32,3.36,1197400,13.44
"2007-09-14",3.32,3.34,3.24,3.26,1383700,13.04
"2007-09-17",3.25,3.28,3.11,3.27,3442300,13.08
"2007-09-18",3.27,3.41,3.2,3.34,1282800,13.36
"2007-09-19",3.38,3.42,3.29,3.39,2081200,13.56
"2007-09-20",3.44,3.49,3.37,3.4,1571400,13.6
"2007-09-21",3.45,3.6,3.35,3.55,3569300,14.2
"2007-09-24",3.53,3.59,3.45,3.56,2330200,14.24
"2007-09-25",3.55,3.57,3.43,3.47,2221800,13.88
"2007-09-26",3.49,3.55,3.48,3.52,1837000,14.08
"2007-09-27",3.51,3.54,3.41,3.42,2502400,13.68
"2007-09-28",3.44,3.44,3.3,3.36,2984000,13.44
"2007-10-01",3.38,3.41,3.25,3.32,2458200,13.28
"2007-10-02",3.31,3.37,3.26,3.33,1668700,13.32
"2007-10-03",3.34,3.46,3.32,3.45,3437600,13.8
"2007-10-04",3.48,3.56,3.36,3.5,2443100,14
"2007-10-05",3.51,3.54,3.47,3.49,1315500,13.96
"2007-10-08",3.46,3.49,3.4,3.43,719800,13.72
"2007-10-09",3.42,3.45,3.4,3.45,601000,13.8
"2007-10-10",3.46,3.58,3.46,3.56,2003300,14.24
"2007-10-11",3.61,3.63,3.36,3.41,2324500,13.64
"2007-10-12",3.41,3.43,3.28,3.3,1369700,13.2
"2007-10-15",3.29,3.34,3.2,3.27,2254000,13.08
"2007-10-16",3.23,3.27,3.11,3.16,4193400,12.64
"2007-10-17",3.16,3.17,3.06,3.1,3244600,12.4
"2007-10-18",3.09,3.3,3.08,3.25,1914400,13
"2007-10-19",3.23,3.38,3.1,3.1,2852400,12.4
"2007-10-22",3.11,3.29,3.06,3.26,2042800,13.04
"2007-10-23",3.27,3.35,3.17,3.35,2279700,13.4
"2007-10-24",3.33,3.36,3.18,3.29,1679700,13.16
"2007-10-25",3.31,3.37,3.27,3.32,1421700,13.28
"2007-10-26",3.33,3.41,3.29,3.38,1463800,13.52
"2007-10-29",3.39,3.47,3.36,3.45,1247900,13.8
"2007-10-30",3.43,3.58,3.43,3.53,1897400,14.12
"2007-10-31",3.52,3.55,3.43,3.51,1728200,14.04
"2007-11-01",3.49,3.51,3.25,3.3,2245900,13.2
"2007-11-02",3.31,3.38,3.18,3.2,2639300,12.8
"2007-11-05",3.23,3.25,3.18,3.23,1928300,12.92
"2007-11-06",3.68,3.95,3.51,3.95,9066500,15.8
"2007-11-07",3.95,4.2,3.84,3.92,4603500,15.68
"2007-11-08",3.95,4.1,3.94,4.06,2570200,16.24
"2007-11-09",4.07,4.28,4.05,4.06,2499900,16.24
"2007-11-12",4.02,4.38,4.02,4.35,3320300,17.4
"2007-11-13",4.38,4.42,4.22,4.37,2271000,17.48
"2007-11-14",4.43,4.43,4.25,4.38,2036000,17.52
"2007-11-15",4.35,4.5,4.27,4.34,2419300,17.36
"2007-11-16",4.38,4.45,4.31,4.4,2010600,17.6
"2007-11-19",4.38,4.44,4.22,4.25,3799600,17
"2007-11-20",4.27,4.32,3.88,4.01,4208500,16.04
"2007-11-21",4,4.08,3.94,3.96,1377500,15.84
"2007-11-23",3.98,4.01,3.94,3.97,471500,15.88
"2007-11-26",3.97,4.07,3.96,4,1962200,16
"2007-11-27",4.18,4.48,4.07,4.43,4378600,17.72
"2007-11-28",4.46,5.18,4.45,4.91,6021300,19.64
"2007-11-29",4.94,5.15,4.9,5.09,3369000,20.36
"2007-11-30",5.19,5.71,5.14,5.51,4844500,22.04
"2007-12-03",5.57,5.58,5.25,5.33,3539200,21.32
"2007-12-04",5.27,5.65,5.27,5.34,3444800,21.36
"2007-12-05",5.38,5.53,5.33,5.44,2856500,21.76
"2007-12-06",5.44,5.74,5.35,5.72,2875500,22.88
"2007-12-07",5.79,5.93,5.7,5.82,2364900,23.28
"2007-12-10",5.8,5.98,5.77,5.95,1959200,23.8
"2007-12-11",5.97,6,5.52,5.53,2888200,22.12
"2007-12-12",5.76,5.83,5.42,5.56,2159200,22.24
"2007-12-13",5.54,5.68,5.38,5.6,2150400,22.4
"2007-12-14",5.55,5.6,5.27,5.35,2848500,21.4
"2007-12-17",5.29,5.36,5.01,5.02,3125800,20.08
"2007-12-18",5.1,5.16,4.87,5.14,1977400,20.56
"2007-12-19",5.15,5.2,5.01,5.11,1172900,20.44
"2007-12-20",5.14,5.18,5.08,5.17,966600,20.68
"2007-12-21",5.34,5.43,5.25,5.32,2064100,21.28
"2007-12-24",5.4,5.57,5.11,5.49,871400,21.96
"2007-12-26",5.56,5.56,5.41,5.44,770000,21.76
"2007-12-27",5.4,5.49,5.11,5.2,1407900,20.8
"2007-12-28",5.25,5.25,5.04,5.08,634800,20.32
"2007-12-31",5.07,5.12,4.96,5.08,828500,20.32
"2008-01-02",5.08,5.1,4.98,5.01,1153700,20.04
"2008-01-03",5.01,5.07,4.86,4.93,1426100,19.72
"2008-01-04",4.85,4.92,4.66,4.75,2131500,19
"2008-01-07",4.79,4.9,4.64,4.9,2111800,19.6
"2008-01-08",4.96,5,4.74,4.76,1756400,19.04
"2008-01-09",4.79,4.9,4.49,4.64,3078900,18.56
"2008-01-10",4.6,4.64,4.34,4.46,2016300,17.84
"2008-01-11",4.43,4.43,4.04,4.26,2993000,17.04
"2008-01-14",4.34,4.36,4.23,4.3,1766800,17.2
"2008-01-15",4.5,4.65,4.31,4.44,5551200,17.76
"2008-01-16",4.39,4.89,4.39,4.76,4102800,19.04
"2008-01-17",4.56,4.8,4.51,4.51,3757400,18.04
"2008-01-18",4.55,4.76,4.25,4.4,2232000,17.6
"2008-01-22",4.1,4.37,4.06,4.31,2176000,17.24
"2008-01-23",4.18,4.3,4.14,4.28,2030900,17.12
"2008-01-24",4.79,4.79,4.5,4.61,4554600,18.44
"2008-01-25",4.72,4.78,4.5,4.6,3430700,18.4
"2008-01-28",4.62,4.7,4.51,4.7,2157200,18.8
"2008-01-29",4.72,4.8,4.6,4.69,3542100,18.76
"2008-01-30",4.61,4.72,4.32,4.36,1678400,17.44
"2008-01-31",4.3,4.51,4.26,4.4,2967600,17.6
"2008-02-01",4.45,4.63,4.41,4.55,3124100,18.2
"2008-02-04",4.55,4.79,4.5,4.69,2434400,18.76
"2008-02-05",4.66,4.99,4.62,4.63,4211100,18.52
"2008-02-06",4.71,4.77,4.61,4.63,1849900,18.52
"2008-02-07",4.61,4.65,4.4,4.5,1736500,18
"2008-02-08",4.5,4.57,4.2,4.27,2027000,17.08
"2008-02-11",4.32,4.33,4.2,4.26,987100,17.04
"2008-02-12",4.28,4.29,4.14,4.2,1010200,16.8
"2008-02-13",4.19,4.25,4.11,4.21,1298800,16.84
"2008-02-14",4.2,4.24,4.14,4.15,960100,16.6
"2008-02-15",4.14,4.23,4.11,4.19,1360800,16.76
"2008-02-19",4.22,4.34,4.19,4.24,1103000,16.96
"2008-02-20",4.21,4.28,4.17,4.26,767700,17.04
"2008-02-21",4.27,4.29,4.15,4.17,1022900,16.68
"2008-02-22",4.2,4.26,4.12,4.25,2059900,17
"2008-02-25",4.21,4.3,4.19,4.28,2086500,17.12
"2008-02-26",4.75,4.98,4.7,4.9,6759800,19.6
"2008-02-27",5.19,5.35,4.97,5,4605800,20
"2008-02-28",4.95,5.05,4.74,4.99,1893100,19.96
"2008-02-29",4.93,4.98,4.79,4.81,1848200,19.24
"2008-03-03",4.79,4.9,4.75,4.84,1934200,19.36
"2008-03-04",4.84,5.05,4.78,5.04,2475200,20.16
"2008-03-05",5.1,5.17,5.03,5.09,1843400,20.36
"2008-03-06",5.14,5.18,4.86,4.94,4286400,19.76
"2008-03-07",4.9,5.01,4.8,4.88,1747100,19.52
"2008-03-10",4.89,5.08,4.82,4.9,2301600,19.6
"2008-03-11",4.88,5.05,4.82,4.97,2775100,19.88
"2008-03-12",4.99,5.13,4.82,4.95,2040400,19.8
"2008-03-13",4.87,5.2,4.86,5.12,1661400,20.48
"2008-03-14",5.15,5.24,4.99,5.01,2532200,20.04
"2008-03-17",4.9,5.02,4.8,4.84,1401900,19.36
"2008-03-18",4.92,4.98,4.74,4.98,2899900,19.92
"2008-03-19",5,5.14,4.98,5.04,1863100,20.16
"2008-03-20",5.01,5.24,4.98,5.24,1746400,20.96
"2008-03-24",5.2,5.49,5.14,5.4,1958400,21.6
"2008-03-25",5.39,5.48,5.22,5.41,1366700,21.64
"2008-03-26",5.37,5.42,5.22,5.26,1557500,21.04
"2008-03-27",5.26,5.4,5.24,5.3,1334600,21.2
"2008-03-28",5.34,5.76,5.31,5.51,2926600,22.04
"2008-03-31",5.52,5.74,5.52,5.66,1760400,22.64
"2008-04-01",5.75,5.87,5.62,5.85,1500900,23.4
"2008-04-02",5.87,5.9,5.77,5.81,1389900,23.24
"2008-04-03",5.8,5.83,5.72,5.8,1703100,23.2
"2008-04-04",5.81,5.85,5.47,5.53,2225600,22.12
"2008-04-07",5.63,5.63,5.42,5.61,1547400,22.44
"2008-04-08",5.56,5.74,5.43,5.49,1982800,21.96
"2008-04-09",5.5,5.51,5.26,5.3,1784600,21.2
"2008-04-10",5.29,5.33,5.16,5.21,1745400,20.84
"2008-04-11",5.16,5.26,5.16,5.22,1493200,20.88
"2008-04-14",5.21,5.28,5.17,5.22,1874300,20.88
"2008-04-15",5.25,5.39,5.22,5.33,1507700,21.32
"2008-04-16",5.38,5.44,5.34,5.4,1305800,21.6
"2008-04-17",5.37,5.46,5.2,5.22,1371800,20.88
"2008-04-18",5.31,5.54,5.25,5.44,1456800,21.76
"2008-04-21",5.51,5.51,5.35,5.38,885300,21.52
"2008-04-22",5.35,5.38,5.16,5.22,841800,20.88
"2008-04-23",5.29,5.6,5.26,5.54,2538200,22.16
"2008-04-24",5.55,5.55,5.42,5.46,885700,21.84
"2008-04-25",5.7,6.32,5.7,6.19,4681700,24.76
"2008-04-28",6.22,6.75,6.14,6.7,4100200,26.8
"2008-04-29",6.36,6.57,6.12,6.55,3086300,26.2
"2008-04-30",6.55,6.57,6.35,6.4,2947600,25.6
"2008-05-01",6.37,6.61,6.31,6.46,3244800,25.84
"2008-05-02",6.39,6.57,6.35,6.38,1496100,25.52
"2008-05-05",6.33,6.68,6.33,6.47,1855200,25.88
"2008-05-06",6.58,6.88,5.9,6.01,6384800,24.04
"2008-05-07",6,6.15,5.67,5.7,3924100,22.8
"2008-05-08",5.71,5.77,5.63,5.74,1436400,22.96
"2008-05-09",5.62,5.76,5.55,5.7,1105400,22.8
"2008-05-12",5.7,5.76,5.63,5.73,821800,22.92
"2008-05-13",5.74,5.91,5.61,5.68,1064200,22.72
"2008-05-14",5.69,5.76,5.66,5.73,1171800,22.92
"2008-05-15",5.74,5.77,5.64,5.69,1056400,22.76
"2008-05-16",5.71,5.74,5.66,5.66,1237900,22.64
"2008-05-19",5.65,5.78,5.65,5.68,1513800,22.72
"2008-05-20",5.64,5.76,5.62,5.74,1670900,22.96
"2008-05-21",5.83,5.83,5.43,5.53,2720400,22.12
"2008-05-22",5.46,5.76,5.46,5.72,1873500,22.88
"2008-05-23",5.68,5.75,5.57,5.61,1318000,22.44
"2008-05-27",5.62,5.76,5.58,5.68,1313200,22.72
"2008-05-28",5.74,5.93,5.68,5.91,1783200,23.64
"2008-05-29",5.88,6.15,5.88,5.97,1543500,23.88
"2008-05-30",5.98,6.04,5.85,5.9,1245600,23.6
"2008-06-02",5.89,6.03,5.8,5.99,1806200,23.96
"2008-06-03",6.08,6.13,5.92,6.05,1743000,24.2
"2008-06-04",5.95,6.18,5.89,6.05,2486900,24.2
"2008-06-05",6.06,6.14,5.96,6.02,1288800,24.08
"2008-06-06",5.95,5.99,5.65,5.71,1712400,22.84
"2008-06-09",5.73,5.74,5.54,5.6,1061900,22.4
"2008-06-10",5.55,5.55,5.35,5.43,1677700,21.72
"2008-06-11",5.37,5.46,5.29,5.3,1751100,21.2
"2008-06-12",5.64,5.8,5.6,5.69,1914300,22.76
"2008-06-13",5.72,5.78,5.64,5.75,1081800,23
"2008-06-16",5.7,5.76,5.58,5.63,732000,22.52
"2008-06-17",5.65,5.7,5.48,5.48,788300,21.92
"2008-06-18",5.48,5.58,5.44,5.51,1706100,22.04
"2008-06-19",5.57,5.58,5.37,5.47,1180900,21.88
"2008-06-20",5.44,5.51,5.3,5.33,1662400,21.32
"2008-06-23",5.37,5.45,5.26,5.37,1515400,21.48
"2008-06-24",5.33,5.53,5.22,5.47,1868600,21.88
"2008-06-25",5.53,5.61,5.44,5.57,1105800,22.28
"2008-06-26",5.57,5.57,5.37,5.42,1205800,21.68
"2008-06-27",5.45,5.51,5.37,5.48,1126400,21.92
"2008-06-30",5.48,5.66,5.43,5.56,1519500,22.24
"2008-07-01",5.49,5.66,5.45,5.65,1705500,22.6
"2008-07-02",5.73,5.97,5.65,5.66,1928600,22.64
"2008-07-03",5.73,5.74,5.46,5.58,845500,22.32
"2008-07-07",5.58,5.64,5.27,5.38,2130800,21.52
"2008-07-08",5.34,5.63,5.34,5.59,1611000,22.36
"2008-07-09",5.59,5.69,5.51,5.52,1581900,22.08
"2008-07-10",5.51,5.63,5.43,5.54,1194500,22.16
"2008-07-11",5.38,5.63,5.19,5.57,2269000,22.28
"2008-07-14",5.55,5.6,5.46,5.51,1082600,22.04
"2008-07-15",5.46,5.56,5.3,5.49,1095800,21.96
"2008-07-16",5.47,5.97,5.46,5.92,2086100,23.68
"2008-07-17",5.94,6,5.6,5.69,2386900,22.76
"2008-07-18",5.74,5.96,5.71,5.78,1668400,23.12
"2008-07-21",5.75,5.87,5.75,5.82,804000,23.28
"2008-07-22",5.83,5.93,5.73,5.84,861000,23.36
"2008-07-23",5.93,5.94,5.79,5.8,1677000,23.2
"2008-07-24",5.83,5.9,5.8,5.84,1233100,23.36
"2008-07-25",5.88,5.9,5.79,5.83,789800,23.32
"2008-07-28",5.77,5.85,5.67,5.67,841600,22.68
"2008-07-29",5.68,5.95,5.63,5.92,1953100,23.68
"2008-07-30",5.94,6.08,5.73,5.81,2822100,23.24
"2008-07-31",5.84,5.89,5.75,5.79,1072200,23.16
"2008-08-01",5.74,6.12,5.71,6.04,1376400,24.16
"2008-08-04",6.12,6.37,5.93,6.23,3037900,24.92
"2008-08-05",5.64,5.84,5.27,5.72,4943000,22.88
"2008-08-06",5.68,5.68,5.4,5.49,2221300,21.96
"2008-08-07",5.45,5.58,5.3,5.36,2116200,21.44
"2008-08-08",5.28,5.74,5.28,5.67,1840400,22.68
"2008-08-11",5.67,5.98,5.64,5.77,1760000,23.08
"2008-08-12",5.72,5.8,5.61,5.63,1483100,22.52
"2008-08-13",5.61,5.74,5.56,5.71,1010100,22.84
"2008-08-14",5.58,6.05,5.58,5.93,1321800,23.72
"2008-08-15",5.93,6.12,5.93,6.09,1280500,24.36
"2008-08-18",6.1,6.18,5.99,6.04,963100,24.16
"2008-08-19",5.96,6.19,5.96,6.15,881600,24.6
"2008-08-20",6.15,6.26,6.05,6.1,758800,24.4
"2008-08-21",6.04,6.17,5.97,6.13,603400,24.52
"2008-08-22",6.18,6.18,6.03,6.08,859200,24.32
"2008-08-25",6.03,6.05,5.86,5.92,583900,23.68
"2008-08-26",5.83,5.95,5.83,5.91,430400,23.64
"2008-08-27",5.93,6.01,5.86,5.99,636400,23.96
"2008-08-28",6.03,6.15,6,6.09,684000,24.36
"2008-08-29",6.05,6.17,6.02,6.03,787000,24.12
"2008-09-02",6.12,6.21,5.98,6.08,870400,24.32
"2008-09-03",6.24,6.63,6.24,6.44,3987800,25.76
"2008-09-04",6.44,6.5,6.35,6.4,1624300,25.6
"2008-09-05",6.32,6.48,6.22,6.31,865600,25.24
"2008-09-08",6.42,6.56,6.34,6.55,1069400,26.2
"2008-09-09",6.49,6.62,6.31,6.31,1246900,25.24
"2008-09-10",6.31,6.36,6.02,6.08,1544700,24.32
"2008-09-11",5.95,6.24,5.92,6.21,1009600,24.84
"2008-09-12",6.19,6.49,5.92,6.48,1328000,25.92
"2008-09-15",6.26,6.38,6,6.07,1709200,24.28
"2008-09-16",6.02,6.12,5.77,5.95,1494500,23.8
"2008-09-17",5.83,5.99,5.71,5.84,2000300,23.36
"2008-09-18",5.95,6.25,5.92,6.14,2506400,24.56
"2008-09-19",6.44,6.7,5.97,6.26,3847200,25.04
"2008-09-22",6.1,6.33,6.05,6.08,1811500,24.32
"2008-09-23",6.1,6.39,6.1,6.16,1800000,24.64
"2008-09-24",6.1,6.24,5.9,6.01,1143600,24.04
"2008-09-25",6.08,6.19,5.98,6.13,1348400,24.52
"2008-09-26",6.1,6.2,5.92,6.01,1317000,24.04
"2008-09-29",5.99,6,5.43,5.55,1997300,22.2
