"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2013-07-05",42.45,42.83,42.31,42.72,2743700,41.62
"2013-07-08",42.9,43.69,42.82,43.68,3978300,42.56
"2013-07-09",44,44.23,43.25,43.32,3805700,42.21
"2013-07-10",43.36,44.12,43.36,43.91,3080100,42.78
"2013-07-11",43.94,44.11,43.33,43.78,4061400,43.05
"2013-07-12",43.93,45.11,43.8,45.05,5693900,44.3
"2013-07-15",44.95,44.97,44.54,44.62,3265800,43.87
"2013-07-16",44.54,44.77,43.7,43.81,3714500,43.08
"2013-07-17",43.97,44.15,43.74,43.96,3645400,43.23
"2013-07-18",43.96,44.56,43.81,44.32,3043700,43.58
"2013-07-19",44.49,44.91,44.12,44.52,4317900,43.78
"2013-07-22",44.3,45.1,43.8,44.97,3810500,44.22
"2013-07-23",44.92,45.09,44.23,44.31,3535100,43.57
"2013-07-24",44.28,44.37,43.39,43.64,3088100,42.91
"2013-07-25",43.41,44.43,43.35,44.24,4088500,43.5
"2013-07-26",45.01,45.12,44.17,44.79,4491100,44.04
"2013-07-29",44.72,45.45,44.47,45.06,4326200,44.31
"2013-07-30",45.08,45.23,44.2,44.7,3619700,43.95
"2013-07-31",44.84,45.91,44.81,45.48,6020600,44.72
"2013-08-01",45.14,45.9,45.04,45.25,3652400,44.49
"2013-08-02",45.11,45.42,44.81,45.32,3190700,44.56
"2013-08-05",45.05,45.37,44.48,44.71,2953500,43.96
"2013-08-06",44.42,44.99,44.42,44.88,4980600,44.13
"2013-08-07",44.7,44.86,44.22,44.57,3299400,43.83
"2013-08-08",44.86,45.18,44.61,45.06,2892400,44.31
"2013-08-09",44.9,45,44.47,44.71,3290800,43.96
"2013-08-12",44.71,45.2,44.39,45.04,3826400,44.29
"2013-08-13",45.12,45.18,44.68,44.93,2791800,44.18
"2013-08-14",44.85,45.23,44.45,44.58,2990500,43.83
"2013-08-15",44.6,44.62,43.13,43.21,4363100,42.49
"2013-08-16",42.94,43.14,42.42,43,6093300,42.28
"2013-08-19",43.01,43.81,42.95,43.37,3326900,42.65
"2013-08-20",43.29,43.48,42.85,42.97,2803000,42.25
"2013-08-21",42.82,42.88,42.25,42.31,4118800,41.6
"2013-08-22",42.4,43.1,42.29,42.92,4077700,42.2
"2013-08-23",43.01,43.5,42.85,43.43,2738100,42.7
"2013-08-26",43.43,43.74,43.19,43.45,3493400,42.72
"2013-08-27",43.02,43.09,42.6,42.63,4473000,41.92
"2013-08-28",42.53,42.81,42.35,42.56,3009700,41.85
"2013-08-29",42.32,43.09,42.26,42.62,2788900,41.91
"2013-08-30",42.76,43.03,42.3,42.61,3170700,41.9
"2013-09-03",43,43.28,42.31,42.59,2925600,41.88
"2013-09-04",42.6,43.14,42.59,43.13,3190700,42.41
"2013-09-05",43.03,43.66,43,43.51,3355500,42.78
"2013-09-06",43.53,44.35,42.89,43.89,3992200,43.16
"2013-09-09",43.88,44.44,43.5,44.43,3287500,43.69
"2013-09-10",44.58,44.81,44.1,44.78,4282300,44.03
"2013-09-11",44.81,44.97,44.39,44.95,3441700,44.2
"2013-09-12",44.84,44.95,44.5,44.7,2597900,43.95
"2013-09-13",44.71,44.89,44.43,44.89,2273500,44.14
"2013-09-16",45.32,45.95,45.19,45.82,3531700,45.05
"2013-09-17",45.92,47.7,45.86,47.6,7293800,46.8
"2013-09-18",47.19,48.42,46.88,47.92,6689400,47.12
"2013-09-19",48.21,48.23,47.31,47.4,5326500,46.61
"2013-09-20",47.44,48,47.33,47.84,10495300,47.04
"2013-09-23",47.56,47.56,46.93,47.1,3179500,46.31
"2013-09-24",46.95,46.95,45.94,45.98,7162700,45.21
"2013-09-25",46.09,46.16,45.02,45.33,4571900,44.57
"2013-09-26",45.33,45.62,44.81,45,5033900,44.25
"2013-09-27",44.87,44.9,44.02,44.33,6617300,43.59
"2013-09-30",44.52,44.95,44.03,44.73,5818400,43.98
"2013-10-01",44.81,45.9,44.81,45.8,4159700,45.03
"2013-10-02",45.34,45.97,45.12,45.95,4056800,45.18
"2013-10-03",45.6,46.34,45.1,46.01,7020800,45.24
"2013-10-04",46.18,46.88,46,46.8,4141400,46.02
"2013-10-07",46.12,46.98,46.09,46.09,4703700,45.32
"2013-10-08",46.29,46.32,44.39,44.52,7091500,43.78
"2013-10-09",44.72,45.31,44.32,44.81,5113000,44.06
"2013-10-10",45.1,45.68,44.51,45.68,3967500,45.32
"2013-10-11",45.7,45.7,44.96,45.65,2985700,45.29
"2013-10-14",45.21,46.45,45.07,46.33,3377300,45.97
"2013-10-15",46.05,46.38,45.75,46.08,3533300,45.72
"2013-10-16",46.31,47.27,46.2,47.06,4399900,46.69
"2013-10-17",46.95,48.32,46.95,48.17,7242400,47.79
"2013-10-18",48.38,48.95,47.77,48.33,9212900,47.95
"2013-10-21",48.08,48.55,47.76,48.35,4713200,47.97
"2013-10-22",48.39,49.31,48.11,49,6937500,48.61
"2013-10-23",48.76,48.86,48.28,48.33,4130300,47.95
"2013-10-24",48.63,48.98,47.74,47.93,5077900,47.55
"2013-10-25",49.1,49.83,48.56,49.3,6956800,48.91
"2013-10-28",49.13,49.97,48.97,49.42,5555000,49.03
"2013-10-29",49.48,50.2,49.48,49.79,5022900,49.4
"2013-10-30",49.57,49.57,48.72,48.8,4011600,48.42
"2013-10-31",48.68,49,48.44,48.45,4563700,48.07
"2013-11-01",48.64,49.33,48.5,48.96,3866900,48.58
"2013-11-04",49.19,49.19,48,48.76,4095600,48.38
"2013-11-05",48.59,48.76,48.03,48.17,4095400,47.79
"2013-11-06",48.5,48.74,48,48.05,4308100,47.67
"2013-11-07",48.17,48.36,47.18,47.24,4444900,46.87
"2013-11-08",47.13,48.1,46.83,48.03,5190900,47.65
"2013-11-11",48.23,48.67,48.19,48.57,2282900,48.19
"2013-11-12",48.45,48.48,47.28,47.48,5351100,47.11
"2013-11-13",47.36,47.93,47.29,47.85,3745100,47.47
"2013-11-14",47.99,48.47,47.69,48.04,3411800,47.66
"2013-11-15",48.03,48.75,48,48.44,6257100,48.06
"2013-11-18",48.89,49.96,48.73,48.87,8585700,48.49
"2013-11-19",48.73,49,48.37,48.46,4050700,48.08
"2013-11-20",48.42,48.54,47.83,47.95,3120300,47.57
"2013-11-21",48.28,48.67,47.99,48.57,4459800,48.19
"2013-11-22",48.65,49.14,48.57,48.94,5810100,48.56
"2013-11-25",49,49.28,48.32,48.41,3343200,48.03
"2013-11-26",48.38,49.18,48.31,48.6,4732300,48.22
"2013-11-27",48.83,48.95,48.24,48.25,3414900,47.87
"2013-11-29",48.43,48.93,48.07,48.45,4044300,48.07
"2013-12-02",48.49,48.68,48.02,48.39,4321900,48.01
"2013-12-03",49.13,50.26,48.97,49.97,9480100,49.58
"2013-12-04",49.75,50.29,49.3,49.67,5309200,49.28
"2013-12-05",49.42,50.07,49.05,49.76,5449100,49.37
"2013-12-06",50.17,51.5,50.05,51.35,7285800,50.95
"2013-12-09",51.45,51.81,50.77,51.21,5470800,50.81
"2013-12-10",51.25,54.13,50.72,52.14,14906900,51.73
"2013-12-11",52.67,53.25,52.02,52.67,10775500,52.26
"2013-12-12",52.56,52.62,51.8,52.39,7766400,51.98
"2013-12-13",52.3,52.6,51.84,52.37,6465300,51.96
"2013-12-16",53.42,54.78,52.98,53.37,9846300,52.95
"2013-12-17",53.43,53.92,53,53.63,7987300,53.21
"2013-12-18",52.78,54.43,52.22,54.32,9635600,53.89
"2013-12-19",53.21,53.21,52.02,52.63,8383400,52.22
"2013-12-20",52.77,53.01,52.29,52.59,12471800,52.18
"2013-12-23",52.73,52.94,52.24,52.58,4957700,52.17
"2013-12-24",52.78,52.79,52.28,52.36,1747000,51.95
"2013-12-26",52.59,53.06,52.34,52.99,2401500,52.57
"2013-12-27",52.92,53.05,52.38,52.55,2354100,52.14
"2013-12-30",52.73,53.03,52.6,53.01,2898800,52.59
"2013-12-31",52.99,53.06,52.36,52.81,3019700,52.39
"2014-01-02",52.12,52.33,51.52,51.98,4569100,51.57
"2014-01-03",52.25,52.67,51.97,52.3,4794300,51.89
"2014-01-06",52.7,52.7,50.03,50.39,11871100,49.99
"2014-01-07",50.84,51.21,50.3,50.49,9719900,50.09
"2014-01-08",50.63,51.11,50.24,50.36,6811100,49.96
"2014-01-09",50.59,51.65,49.87,51.22,6960300,50.82
"2014-01-10",51.27,51.49,50.76,50.9,5517700,50.5
"2014-01-13",50.66,50.74,49.64,49.83,7055200,49.83
"2014-01-14",49.94,50.88,49.63,50.6,6610800,50.6
"2014-01-15",50.65,50.67,50.07,50.11,4728400,50.11
"2014-01-16",50.1,50.62,50.02,50.5,4972300,50.5
"2014-01-17",50.64,50.66,50.01,50.06,8606800,50.06
"2014-01-21",50.26,50.92,49.91,50,5823000,50
"2014-01-22",49.98,50,48.62,49.08,8181700,49.08
"2014-01-23",48.74,49.06,48.39,48.87,7270500,48.87
"2014-01-24",48.42,49.1,47.77,47.79,9197900,47.79
"2014-01-27",47.79,47.83,46.42,46.83,10749800,46.83
"2014-01-28",47.08,48.47,47.08,47.69,12298600,47.69
"2014-01-29",47.15,47.84,46.98,47.61,7608500,47.61
"2014-01-30",47.97,48.88,47.9,48.31,7669500,48.31
"2014-01-31",49.94,50.55,49.07,49.23,12863500,49.23
"2014-02-03",49.4,49.49,47.06,47.35,10314600,47.35
"2014-02-04",47.18,47.97,46.95,47.95,9606100,47.95
"2014-02-05",47.76,48.07,47.16,47.73,6987100,47.73
"2014-02-06",47.89,48.18,47.45,47.93,4957800,47.93
"2014-02-07",48,49.03,47.66,48.89,6979500,48.89
"2014-02-10",48.75,50.19,48.72,49.55,7907500,49.55
"2014-02-11",49.41,49.97,49.04,49.66,7217600,49.66
"2014-02-12",49.63,50.93,49.59,50.56,6534500,50.56
"2014-02-13",50.3,50.52,49.88,50.35,4946000,50.35
"2014-02-14",50.56,50.91,50.17,50.73,4118700,50.73
"2014-02-18",50.64,51.56,50.56,51.46,4984900,51.46
"2014-02-19",51.17,51.86,50.64,51.19,5242800,51.19
"2014-02-20",51.19,52.11,50.73,51.86,6078900,51.86
"2014-02-21",51.82,51.97,51.01,51.04,5842700,51.04
"2014-02-24",51.01,51.56,50.83,50.85,5693000,50.85
"2014-02-25",50.93,51.13,50.5,50.72,5425000,50.72
"2014-02-26",49.95,50.97,49.93,50.74,5710700,50.74
"2014-02-27",50.6,50.92,50.47,50.91,5052900,50.91
"2014-02-28",50.84,51.96,50.51,50.91,7095600,50.91
"2014-03-03",50.34,50.86,49.79,50.09,6817700,50.09
"2014-03-04",50.73,51.73,50.53,51.59,6198000,51.59
"2014-03-05",51.68,52.12,51.3,51.7,5251100,51.7
"2014-03-06",52.04,52.77,51.97,52.04,6529000,52.04
"2014-03-07",52.25,52.5,51.01,51.46,5860700,51.46
"2014-03-10",51.9,51.9,50.86,51.66,3086000,51.66
"2014-03-11",51.68,52.14,51.5,51.75,3629800,51.75
"2014-03-12",51.46,51.74,51.07,51.64,3924800,51.64
"2014-03-13",51.89,52.1,51.14,51.32,4839400,51.32
"2014-03-14",51.25,51.42,50.8,51.21,5466700,51.21
"2014-03-17",51.47,52.19,51.26,51.98,3875500,51.98
