"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"2007-06-19",71.55,71.66,69.68,69.81,11871000,69.81
"2007-06-20",70.25,70.5,69.05,69.1,9172600,69.1
"2007-06-21",69.16,69.77,68.66,69.67,7609700,69.67
"2007-06-22",69.55,69.88,68.42,68.86,8382600,68.86
"2007-06-25",69.35,69.63,68.3,68.66,7593500,68.66
"2007-06-26",68.53,68.63,67.38,67.48,11247800,67.48
"2007-06-27",66.96,68.21,66.71,68.14,8242900,68.14
"2007-06-28",68.46,70.23,68.15,68.89,9782200,68.89
"2007-06-29",69.03,69.19,68.15,68.41,5316600,68.41
"2007-07-02",68.81,69.71,68.2,69.61,4906100,69.61
"2007-07-03",70.04,70.05,69.02,69.45,2223500,69.45
"2007-07-05",69.36,69.65,68.06,68.73,4487900,68.73
"2007-07-06",68.75,69.3,68.01,68.97,4615300,68.97
"2007-07-09",69.38,72.35,69.02,72.07,14816900,72.07
"2007-07-10",71.65,71.94,70.07,70.28,8885400,70.28
"2007-07-11",70.58,71.65,70.15,70.73,6593600,70.73
"2007-07-12",71.31,73.57,70.73,72.79,11451600,72.79
"2007-07-13",73.08,75.35,72.97,75.1,12502000,75.1
"2007-07-16",74.73,74.84,73,73.69,8334900,73.69
"2007-07-17",74.39,74.52,73.59,73.79,6084400,73.79
"2007-07-18",73.27,73.49,72.25,73.32,6289700,73.32
"2007-07-19",74.24,74.32,73.12,73.35,5273500,73.35
"2007-07-20",72.62,72.96,70.5,71.63,9130700,71.63
"2007-07-23",71.78,72.67,70.85,71.74,9267800,71.74
"2007-07-24",71.04,72.16,68.85,69.25,25342300,69.25
"2007-07-25",84.66,88.8,83.65,86.18,60452400,86.18
"2007-07-26",85.02,89,83.43,84.01,23267100,84.01
"2007-07-27",84.27,85.33,82.48,84.04,13942600,84.04
"2007-07-30",83,84.05,81.51,82.7,12855600,82.7
"2007-07-31",83.7,83.73,78,78.54,14104500,78.54
"2007-08-01",78.1,78.15,75.06,77.31,16918000,77.31
"2007-08-02",77.86,79.76,76.12,79.71,10361600,79.71
"2007-08-03",79.54,80.75,76.71,76.8,7987500,76.8
"2007-08-06",77.06,79,76.6,79,9002900,79
"2007-08-07",78.55,80,77.89,79.14,8059300,79.14
"2007-08-08",79.77,79.88,76.56,77.78,8244800,77.78
"2007-08-09",76.4,77.26,74.11,74.11,8348400,74.11
"2007-08-10",73.15,76.5,72.37,74.78,9067600,74.78
"2007-08-13",76.09,76.32,74.7,74.87,6068600,74.87
"2007-08-14",74.79,74.79,72.92,73.45,5946200,73.45
"2007-08-15",73.02,75.15,72.26,72.38,6375900,72.38
"2007-08-16",72,73.24,70.05,72.79,10787300,72.79
"2007-08-17",74.49,75.04,73.11,75.02,7240600,75.02
"2007-08-20",74.98,75.28,73.8,74.7,5916100,74.7
"2007-08-21",74.21,77.83,74.09,77.49,8429100,77.49
"2007-08-22",78.24,79.49,77.84,78.5,6848100,78.5
"2007-08-23",78.94,79,76.51,77.3,5665000,77.3
"2007-08-24",76.8,79.4,76.69,79.25,5665700,79.25
"2007-08-27",80.56,80.8,78.42,78.65,6951300,78.65
"2007-08-28",77.86,78.65,76.08,76.22,5767000,76.22
"2007-08-29",76.96,79.05,76.86,79.05,5076800,79.05
"2007-08-30",78.4,80.11,78.3,78.68,4628800,78.68
"2007-08-31",80,80.53,79.7,79.91,6157400,79.91
"2007-09-04",79.9,83.53,79.73,82.7,8266000,82.7
"2007-09-05",82.24,84.89,82.22,83.75,9062200,83.75
"2007-09-06",84.5,86.46,82.85,86.21,8826900,86.21
"2007-09-07",84.7,84.97,83.21,84.52,8231200,84.52
"2007-09-10",84.93,85.16,82.51,83.34,5366900,83.34
"2007-09-11",84.17,86.61,83.53,86.28,6859800,86.28
"2007-09-12",86.07,88.89,85.97,87.3,9030300,87.3
"2007-09-13",87.95,88.07,86.5,87.26,5983500,87.26
"2007-09-14",86.41,88.09,86.31,87.77,3954700,87.77
"2007-09-17",86.98,87.34,85.98,86.91,4484500,86.91
"2007-09-18",87.38,91.6,86.71,88.75,8924400,88.75
"2007-09-19",89.52,89.82,88.26,89,6458700,89
"2007-09-20",88.9,90.42,88.82,89.65,5780800,89.65
"2007-09-21",90.29,91.9,89.65,91.3,6524500,91.3
"2007-09-24",91.3,93.75,90.81,92.59,5321800,92.59
"2007-09-25",91.99,93.5,90.95,93.48,5800300,93.48
"2007-09-26",94.04,94.26,92.29,93.43,5770300,93.43
"2007-09-27",94.07,94.11,93.11,93.38,2812700,93.38
"2007-09-28",92.77,93.6,91.7,93.15,4813700,93.15
"2007-10-01",93.42,94.1,92.83,93.41,5397400,93.41
"2007-10-02",93.86,93.9,91.4,92.36,4867200,92.36
"2007-10-03",92.19,92.8,91.78,92.46,5052200,92.46
"2007-10-04",92.55,92.57,91.45,92.26,3318300,92.26
"2007-10-05",93.55,93.71,92.34,93.43,5523500,93.43
"2007-10-08",94.22,95.85,94,95.85,7428400,95.85
"2007-10-09",96.59,96.73,94.75,95.32,7144600,95.32
"2007-10-10",95.5,95.75,94.37,94.66,5567800,94.66
"2007-10-11",95.33,95.74,88.13,89.34,9822400,89.34
"2007-10-12",89.42,92.39,88.92,92.37,8359900,92.37
"2007-10-15",91.8,92.12,90.1,90.53,5608800,90.53
"2007-10-16",88.69,90.05,88.5,89.53,8511500,89.53
"2007-10-17",91.9,91.9,89.06,90.55,7678700,90.55
"2007-10-18",89.37,90.43,89.15,89.85,5329500,89.85
"2007-10-19",89.93,90.65,89.32,89.76,9126200,89.76
"2007-10-22",89.25,91.69,89.02,91.29,9868400,91.29
"2007-10-23",95.28,101.09,94.21,100.82,41761800,100.82
"2007-10-24",90.87,90.88,83.27,88.73,41617400,88.73
"2007-10-25",88.23,89.5,86.32,88.21,11630900,88.21
"2007-10-26",89,90.88,87.7,90,8826200,90
"2007-10-29",90.41,91.47,89.48,90.1,7097200,90.1
"2007-10-30",89.67,90.65,88.05,88.24,5405400,88.24
"2007-10-31",88.05,89.6,87,89.15,7044800,89.15
"2007-11-01",87.75,89.58,86.5,87.65,8265700,87.65
"2007-11-02",87.97,88.12,83.5,85.98,10230500,85.98
"2007-11-05",84.35,86.02,82.76,84.37,7453100,84.37
"2007-11-06",84.61,87.5,84.37,87.27,7934000,87.27
"2007-11-07",86.41,89.16,86.16,87.04,8397800,87.04
"2007-11-08",86.8,86.96,81.4,83.58,11803200,83.58
"2007-11-09",82.42,82.42,78.84,78.89,11620200,78.89
"2007-11-12",78.26,80.09,76.5,77,9396900,77
"2007-11-13",77.91,80.05,77.8,79.86,9496300,79.86
"2007-11-14",80.4,81.15,78.15,78.51,8427400,78.51
"2007-11-15",79.43,79.73,76.7,77.85,7831500,77.85
"2007-11-16",77.01,78.99,76.63,78.6,7114100,78.6
"2007-11-19",78.83,79.75,77.94,79.18,8649800,79.18
"2007-11-20",79.86,82,78.31,80.39,11610000,80.39
"2007-11-21",79.24,80.86,78.65,79.76,6678300,79.76
"2007-11-23",80.11,81.45,78.98,81.43,2780900,81.43
"2007-11-26",82.3,84.49,81.14,81.3,8610500,81.3
"2007-11-27",82.92,85.65,82.21,85.59,8634200,85.59
"2007-11-28",87.55,90.57,86.75,90.3,11403400,90.3
"2007-11-29",89.89,91.47,88.68,89.15,6977100,89.15
"2007-11-30",90.56,91.08,88.31,90.56,6881600,90.56
"2007-12-03",90.03,92.25,89.77,90.91,6000500,90.91
"2007-12-04",90.04,94.56,90.04,94.41,7337900,94.41
"2007-12-05",94.99,94.99,91.98,93.19,6608600,93.19
"2007-12-06",93.28,95,92.83,94.21,5472700,94.21
"2007-12-07",94.56,94.68,92.91,94.31,3934800,94.31
"2007-12-10",94.31,94.35,92.3,93.02,5180600,93.02
"2007-12-11",93.1,95.94,90.75,90.75,10269600,90.75
"2007-12-12",92.84,93.75,89.32,91.28,7228100,91.28
"2007-12-13",91.05,93,90.63,92.4,6046300,92.4
"2007-12-14",90.77,91.24,88.93,89.08,6002300,89.08
"2007-12-17",89.01,89.06,84.99,85.09,7697700,85.09
"2007-12-18",85.83,87.46,83.86,86.89,7266100,86.89
"2007-12-19",86.94,89.95,86.83,89.38,7616200,89.38
"2007-12-20",90.14,90.75,89.09,90.58,5879800,90.58
"2007-12-21",91.47,92.28,90.39,91.26,6604900,91.26
"2007-12-24",91.05,91.56,90.3,91.01,2017100,91.01
"2007-12-26",91.48,93.94,90.5,92.85,5442200,92.85
"2007-12-27",92.67,95.29,92.5,94.25,7113700,94.25
"2007-12-28",95.27,95.9,92.1,94.45,7587900,94.45
"2007-12-31",93.81,94.37,92.45,92.64,5755200,92.64
"2008-01-02",95.35,97.43,94.7,96.25,13858700,96.25
"2008-01-03",96.06,97.25,94.52,95.21,9122500,95.21
"2008-01-04",93.26,93.4,88.5,88.79,10270000,88.79
"2008-01-07",88.62,90.57,85.47,88.82,9981600,88.82
"2008-01-08",87.55,91.83,86.93,87.88,12283300,87.88
"2008-01-09",87.56,87.8,80.24,85.22,16410900,85.22
"2008-01-10",83.98,85.97,82.97,84.26,11609900,84.26
"2008-01-11",84.03,84.03,80.29,81.08,10624300,81.08
"2008-01-14",82.18,83.32,78.87,82.87,9056100,82.87
"2008-01-15",80.49,81.01,78.51,80.24,9655900,80.24
"2008-01-16",79.58,82.36,78.44,80.35,12407000,80.35
"2008-01-17",80.16,82.25,79.54,80.12,9900900,80.12
"2008-01-18",79.93,82.31,78.04,79.76,13364300,79.76
"2008-01-22",73.58,79.72,72.22,78.48,12822200,78.48
"2008-01-23",75.6,76.8,69.95,73.97,20405700,73.97
"2008-01-24",74.53,77.88,74.19,77.67,9886600,77.67
"2008-01-25",78.69,81.43,76.33,77.6,10027600,77.6
"2008-01-28",76.91,77.4,74.34,75.82,8505300,75.82
"2008-01-29",75.77,75.9,72.06,73.95,9958000,73.95
"2008-01-30",73.54,77.42,73.25,74.21,25298700,74.21
"2008-01-31",68.91,78.87,68.84,77.7,42885900,77.7
"2008-02-01",79.02,79.4,73.37,74.63,16361000,74.63
"2008-02-04",74.5,76.66,73.9,73.95,9155200,73.95
"2008-02-05",72.8,74.21,72,72.09,9633900,72.09
"2008-02-06",72.3,72.43,68.17,68.49,12399500,68.49
"2008-02-07",67.37,72.71,67.22,70.91,14501700,70.91
"2008-02-08",73.4,74.6,72.52,73.5,11700400,73.5
"2008-02-11",73.14,75.96,72.77,75.19,7763700,75.19
"2008-02-12",75.43,77.05,73.79,74.45,9449000,74.45
"2008-02-13",74.99,78.85,73.27,77.73,11070300,77.73
"2008-02-14",77.73,77.88,75.18,75.8,7497200,75.8
"2008-02-15",75,75.19,71.94,72.96,11120100,72.96
"2008-02-19",73.54,74,71.55,72.08,7109200,72.08
"2008-02-20",71.9,73.88,71.1,73.64,6450700,73.64
"2008-02-21",73.94,74.21,69.37,69.9,13150800,69.9
"2008-02-22",70.54,72.21,69.86,72.08,12342700,72.08
"2008-02-25",72.35,73.5,71.41,73.27,7858200,73.27
"2008-02-26",71.91,73.5,70.28,71.69,9891300,71.69
"2008-02-27",70.68,71.48,69.57,70.87,8930500,70.87
"2008-02-28",70.3,70.6,67.11,67.85,13167800,67.85
"2008-02-29",67.01,67.5,63.97,64.47,11664600,64.47
"2008-03-03",63.59,64.49,61.2,62.43,13721100,62.43
"2008-03-04",61.67,66.6,61.23,65.34,16703600,65.34
"2008-03-05",65.66,66.34,63.82,64.99,11126400,64.99
"2008-03-06",64.75,65.46,62.5,62.74,8343300,62.74
"2008-03-07",62.2,64.87,62.01,64.09,10438100,64.09
"2008-03-10",63.9,65.15,62.91,63.47,9321000,63.47
"2008-03-11",65.95,67.17,63.71,67.15,9742900,67.15
"2008-03-12",66.77,68.23,65.64,66.51,7748800,66.51
"2008-03-13",65.11,69.55,64.37,68.32,10707500,68.32
"2008-03-14",68.61,70.68,66.06,68.22,12420700,68.22
"2008-03-17",65.72,67.79,64.92,66.53,9709100,66.53
"2008-03-18",68.25,71.93,67.59,71.7,9550700,71.7
"2008-03-19",71.1,74,70.17,70.17,11041900,70.17
"2008-03-20",70.17,73.49,69.38,73.19,11410700,73.19
"2008-03-24",73.82,76.93,72.75,75.95,9395400,75.95
"2008-03-25",75.83,76.29,74.05,75.17,6327500,75.17
"2008-03-26",74.14,75.12,73.24,73.8,6285100,73.8
"2008-03-27",74.37,74.69,70.8,70.8,7942400,70.8
"2008-03-28",71,72.21,69.26,69.76,5279100,69.76
"2008-03-31",70.25,71.64,69.63,71.3,5470300,71.3
"2008-04-01",72.99,77.09,72.76,76.7,9734000,76.7
"2008-04-02",77.08,79,76.12,77.37,8592400,77.37
"2008-04-03",75.15,76.01,73.81,74.94,8149900,74.94
"2008-04-04",75.26,77.83,74.28,76.87,7152800,76.87
"2008-04-07",77.36,78.43,76,76.9,6672400,76.9
"2008-04-08",76.4,77.61,75.5,77.3,4966000,77.3
"2008-04-09",76.56,76.67,73.66,74.39,6660300,74.39
"2008-04-10",74.48,75.49,72.73,74.83,6255500,74.83
"2008-04-11",73.84,74.3,71.62,71.99,6785600,71.99
"2008-04-14",71.7,74,71.29,72.61,4354500,72.61
"2008-04-15",72.97,73.98,70.65,72.5,6813100,72.5
"2008-04-16",73.02,75,72.94,74.59,6746800,74.59
"2008-04-17",74.18,75.02,73.61,74.04,6220000,74.04
"2008-04-18",76.48,82,76.32,80.1,16791300,80.1
"2008-04-21",80.03,81.34,79.06,80.18,9335400,80.18
"2008-04-22",79.94,79.94,77.54,79.6,7245000,79.6
"2008-04-23",80.3,82.64,78.74,81,19250400,81
"2008-04-24",77.71,80.53,76.93,77.69,21073500,77.69
"2008-04-25",77.81,81.32,77.26,80.86,9456500,80.86
"2008-04-28",80.64,82.5,80.12,81.97,10991900,81.97
"2008-04-29",81.42,81.77,79.86,80.74,6726400,80.74
"2008-04-30",80.9,81.34,77.92,78.63,7875700,78.63
"2008-05-01",78.4,80.01,77.97,79.36,7197000,79.36
"2008-05-02",80.3,81.2,76.4,77.31,8154900,77.31
"2008-05-05",77.27,77.77,75.87,75.92,5647400,75.92
"2008-05-06",75.51,76.77,75.05,75.71,6545700,75.71
"2008-05-07",75.26,76.64,73.09,73.18,8376600,73.18
"2008-05-08",73.73,74.16,71.56,72.79,8131300,72.79
"2008-05-09",72.2,73.34,71.66,72.41,4243500,72.41
"2008-05-12",73,74.93,71.78,74.53,7215400,74.53
"2008-05-13",74.57,74.96,73.31,74.56,5020800,74.56
"2008-05-14",74.92,75.75,73.98,74.2,4589200,74.2
"2008-05-15",73.89,76.32,73.55,76.12,6917700,76.12
"2008-05-16",76.42,76.83,74.86,76.46,6206700,76.46
"2008-05-19",79.01,84.75,78.86,82.29,18684800,82.29
"2008-05-20",82.17,82.7,80.03,80.72,7912200,80.72
"2008-05-21",80.37,81.15,77.5,78.3,7070500,78.3
"2008-05-22",78.68,79.69,78,79.26,5390600,79.26
"2008-05-23",78.55,78.87,77.43,78.35,6331900,78.35
"2008-05-27",78.26,80.9,77.97,80.62,10108200,80.62
"2008-05-28",80.73,80.79,78.99,80.08,6700600,80.08
"2008-05-29",80.61,81.96,80.17,80.35,6857600,80.35
"2008-05-30",80.58,81.77,80.3,81.62,5270600,81.62
"2008-06-02",81.15,81.57,80.05,80.23,6215200,80.23
"2008-06-03",80.71,81.89,79.26,80.11,5870000,80.11
"2008-06-04",80.11,81.82,79.72,81.5,6458300,81.5
"2008-06-05",82.11,84.88,81.8,84.51,8938700,84.51
"2008-06-06",83.24,83.64,80.56,80.63,7843700,80.63
"2008-06-09",81.19,81.53,78.12,79.43,6537300,79.43
"2008-06-10",78.2,81.04,78.2,79.62,6065600,79.62
"2008-06-11",79.35,80,77.03,77.28,5874500,77.28
"2008-06-12",78.02,79.05,75.01,76.15,6204400,76.15
"2008-06-13",76.7,80,76.7,79.17,5974500,79.17
"2008-06-16",78.42,82.53,78.41,81.7,5754400,81.7
"2008-06-17",83.15,84.3,82.8,82.97,8802400,82.97
"2008-06-18",82,83.17,81.32,82.52,6846600,82.52
"2008-06-19",82.21,84.47,81.5,84.26,6717300,84.26
"2008-06-20",83.1,83.46,80.51,81.1,6588900,81.1
"2008-06-23",81.3,82.15,79.55,80.68,7425800,80.68
"2008-06-24",79.55,80.79,77.63,79.64,7140100,79.64
"2008-06-25",80.45,82.15,79.52,80.51,7393300,80.51
"2008-06-26",79.1,79.89,76,76.3,11310100,76.3
"2008-06-27",75.59,76.07,72.62,74.66,11840500,74.66
"2008-06-30",75.03,76.12,73.21,73.33,7104100,73.33
"2008-07-01",72.24,74.23,70.52,73.62,10292500,73.62
"2008-07-02",74.16,74.41,71.38,71.44,7044400,71.44
"2008-07-03",72.51,73.84,70.52,72,4248200,72
"2008-07-07",72.37,74.4,70.76,72.49,7355500,72.49
"2008-07-08",72.38,75.49,71.75,75.04,7916000,75.04
"2008-07-09",74.56,74.9,70.48,70.61,6912100,70.61
"2008-07-10",70.7,71.77,67.99,70.63,9941600,70.63
"2008-07-11",69.4,69.99,66.74,68.54,7930000,68.54
"2008-07-14",69.31,69.5,65.59,66.28,9021300,66.28
"2008-07-15",65.87,68.62,62.99,67.03,11342100,67.03
"2008-07-16",66.94,72.75,66.84,71.84,12038900,71.84
"2008-07-17",71.2,72.38,67.74,72.11,9597400,72.11
"2008-07-18",69.94,70.84,68.4,69.12,8298000,69.12
"2008-07-21",69.52,69.8,66.3,68.48,6896900,68.48
"2008-07-22",67.09,69.14,65.88,67.97,8795800,67.97
"2008-07-23",67.46,72.07,67.46,70.54,17916200,70.54
"2008-07-24",76.3,82.38,76.29,78.72,30996600,78.72
"2008-07-25",79.63,80.94,78.12,78.31,9150700,78.31
"2008-07-28",77.09,78.31,74.86,75.98,10480200,75.98
"2008-07-29",76.49,78.8,76.16,78.21,6770900,78.21
"2008-07-30",78.36,79.85,76.42,78.21,7567300,78.21
"2008-07-31",76.75,78.17,76.1,76.34,5300700,76.34
"2008-08-01",76.36,76.49,74.05,75.75,4774500,75.75
"2008-08-04",75.99,77.3,75.01,75.71,4498200,75.71
"2008-08-05",76.92,79.52,76.52,79.11,7794600,79.11
"2008-08-06",78.55,78.63,76.73,78.09,6406100,78.09
"2008-08-07",77.01,78.05,76,76.95,5444800,76.95
"2008-08-08",76.78,81.21,76.29,80.51,9162700,80.51
"2008-08-11",80.18,91.75,79.78,88.09,25070200,88.09
"2008-08-12",87.32,88.48,86.1,87.25,8026500,87.25
"2008-08-13",86.28,88.25,84.54,86.69,7208800,86.69
"2008-08-14",85.71,88.75,85.22,88.03,6901700,88.03
"2008-08-15",88.28,89.53,86.26,86.4,6871600,86.4
"2008-08-18",86.09,86.28,83.04,83.11,6547400,83.11
"2008-08-19",83.09,83.51,81.06,81.29,6630400,81.29
"2008-08-20",82,83.25,81.2,82.13,5950600,82.13
"2008-08-21",81.41,83.77,80.98,83.26,6157800,83.26
"2008-08-22",84.27,85.46,83.93,85.26,4677800,85.26
"2008-08-25",84.63,84.64,82.45,82.85,4356400,82.85
"2008-08-26",82.74,83.12,81.25,81.76,4374200,81.76
"2008-08-27",81.44,82.74,81,81.73,5627300,81.73
"2008-08-28",82.21,83.65,81.8,83.42,7834100,83.42
"2008-08-29",82.9,82.9,80.5,80.81,4728700,80.81
"2008-09-02",83.16,84.5,81.21,81.41,6000800,81.41
"2008-09-03",81.4,82,80.02,80.77,5742600,80.77
"2008-09-04",80.6,80.81,78.02,78.03,8316500,78.03
"2008-09-05",77.34,80.72,77.08,79.19,8069100,79.19
"2008-09-08",82.25,83.75,78.85,81.16,9490600,81.16
"2008-09-09",80.76,81.96,78.99,79.04,5821800,79.04
"2008-09-10",80.01,80.22,76.15,76.74,9444700,76.74
"2008-09-11",75.27,79.8,75.1,79.51,7813600,79.51
"2008-09-12",78.81,79.6,76.62,78.3,6480100,78.3
"2008-09-15",76.86,79.88,76.3,77.34,8980800,77.34
"2008-09-16",76.8,79.63,76.67,78.73,13092200,78.73
"2008-09-17",77.68,78.24,71.24,71.54,13165600,71.54
"2008-09-18",73.08,77.5,70.08,76.5,12397200,76.5
"2008-09-19",80.12,86.77,76.5,81,14772200,81
"2008-09-22",81.13,81.63,74.32,74.93,7037700,74.93
"2008-09-23",75.79,76.29,70.77,71.76,8594200,71.76
"2008-09-24",72.3,73.65,68.94,69.96,9372400,69.96
"2008-09-25",70.66,72.75,70.01,72.08,6073000,72.08
"2008-09-26",69.52,71.05,68.08,70.7,6747100,70.7
