"","S.Open","S.High","S.Low","S.Close","S.Volume","S.Adjusted"
"2013-09-19",6.46,6.5,6.3,6.49,13184600,6.49
"2013-09-20",6.48,6.49,6.18,6.26,28682200,6.26
"2013-09-23",6.19,6.2,6.02,6.15,30035400,6.15
"2013-09-24",6.14,6.24,6.05,6.19,12635500,6.19
"2013-09-25",6.28,6.3,6.04,6.19,19995500,6.19
"2013-09-26",6.18,6.33,6.18,6.3,11247900,6.3
"2013-09-27",6.28,6.32,6.13,6.16,7341000,6.16
"2013-09-30",6.09,6.27,6.04,6.22,19916300,6.22
"2013-10-01",6.25,6.4,6.19,6.29,14919300,6.29
"2013-10-02",6.26,6.35,6.22,6.35,9581400,6.35
"2013-10-03",6.34,6.37,6.25,6.29,20216400,6.29
"2013-10-04",6.29,6.44,6.26,6.44,10848500,6.44
"2013-10-07",6.41,6.45,6.36,6.38,6762500,6.38
"2013-10-08",6.38,6.43,6.11,6.13,19674700,6.13
"2013-10-09",6.14,6.17,5.99,6,15925900,6
"2013-10-10",6.04,6.08,5.92,5.97,23754400,5.97
"2013-10-11",6.03,6.15,5.93,6,17832400,6
"2013-10-14",6,6.09,6,6.03,8172900,6.03
"2013-10-15",6.11,6.11,5.95,6.03,18542700,6.03
"2013-10-16",6.1,6.35,6.09,6.3,23866000,6.3
"2013-10-17",6.36,6.42,6.24,6.42,13360200,6.42
"2013-10-18",6.46,6.55,6.3,6.4,15582400,6.4
"2013-10-21",6.45,6.48,6.33,6.35,5440100,6.35
"2013-10-22",6.39,6.46,6.3,6.39,10193700,6.39
"2013-10-23",6.37,6.44,6.3,6.43,9675200,6.43
"2013-10-24",6.39,6.53,6.36,6.52,13992900,6.52
"2013-10-25",6.51,6.53,6.39,6.45,12521800,6.45
"2013-10-28",6.48,6.68,6.46,6.61,21255800,6.61
"2013-10-29",6.6,6.82,6.6,6.68,22954000,6.68
"2013-10-30",6.76,7,6.41,6.93,52955100,6.93
"2013-10-31",6.85,6.89,6.67,6.73,22001300,6.73
"2013-11-01",6.73,6.87,6.73,6.87,13932700,6.87
"2013-11-04",6.91,7.12,6.9,7.03,19481700,7.03
"2013-11-05",7.07,7.36,6.9,7.19,49424900,7.19
"2013-11-06",7.21,7.28,7.01,7.07,16777500,7.07
"2013-11-07",7.09,7.12,6.81,6.99,18458100,6.99
"2013-11-08",7,7.09,6.9,7.07,19935300,7.07
"2013-11-11",7.09,7.09,6.94,6.98,7416500,6.98
"2013-11-12",7.01,7.01,6.9,6.99,8642900,6.99
"2013-11-13",6.94,7.06,6.93,7.06,6455600,7.06
"2013-11-14",7.04,7.12,7,7.11,8674900,7.11
"2013-11-15",7.1,7.43,7.07,7.42,22387600,7.42
"2013-11-18",7.44,7.8,7.44,7.64,31637500,7.64
"2013-11-19",7.67,7.69,7.44,7.49,11617700,7.49
"2013-11-20",7.51,7.75,7.32,7.35,23069800,7.35
"2013-11-21",7.37,8.19,7.36,7.95,43896000,7.95
"2013-11-22",7.94,8.02,7.8,7.83,22482700,7.83
"2013-11-25",7.78,7.88,7.66,7.82,9040700,7.82
"2013-11-26",7.8,8.34,7.8,8.15,29810500,8.15
"2013-11-27",8.27,8.47,8.13,8.36,13807700,8.36
"2013-11-29",8.45,8.75,8.39,8.39,14733500,8.39
"2013-12-02",8.3,8.38,8.05,8.2,16166000,8.2
"2013-12-03",8.12,8.23,7.96,8.04,23796100,8.04
"2013-12-04",8,8.12,7.81,7.95,18941100,7.95
"2013-12-05",8.14,8.29,7.91,8,18852500,8
"2013-12-06",8.02,8.07,7.87,7.89,18082700,7.89
"2013-12-09",7.95,8.06,7.92,7.99,14513900,7.99
"2013-12-10",7.94,7.98,7.83,7.98,17852900,7.98
"2013-12-11",7.98,8.11,7.96,8.11,15242500,8.11
"2013-12-12",8.13,8.17,7.99,8.15,16536200,8.15
"2013-12-13",8.15,8.6,8.14,8.43,19442700,8.43
"2013-12-16",8.68,8.88,8.16,8.31,36582900,8.31
"2013-12-17",8.37,8.81,8.34,8.76,28911900,8.76
"2013-12-18",8.72,8.99,8.67,8.95,22806400,8.95
"2013-12-19",8.97,9.35,8.92,9.24,26805500,9.24
"2013-12-20",9.39,9.87,9.39,9.86,42108900,9.86
"2013-12-23",9.93,9.97,9.6,9.68,21853300,9.68
"2013-12-24",9.68,9.73,9.55,9.66,9959200,9.66
"2013-12-26",9.79,9.97,9.79,9.96,18323400,9.96
"2013-12-27",10.17,11.47,10.14,10.79,50750000,10.79
"2013-12-30",10.89,11,10.44,10.58,22530900,10.58
"2013-12-31",10.65,10.85,10.53,10.75,12103100,10.75
"2014-01-02",10.47,10.69,10.25,10.4,21180000,10.4
"2014-01-03",10.03,10.16,9.73,9.94,25580700,9.94
"2014-01-06",9.67,9.85,9.35,9.77,25470500,9.77
"2014-01-07",9.76,10.19,9.72,9.87,17242500,9.87
"2014-01-08",9.89,10.04,9.64,9.98,16259900,9.98
"2014-01-09",9.88,9.88,9.33,9.42,34362700,9.42
"2014-01-10",9.47,9.57,9.36,9.46,13895700,9.46
"2014-01-13",9.36,9.4,9.01,9.09,14682800,9.09
"2014-01-14",9.14,9.28,9.05,9.17,22453900,9.17
"2014-01-15",9.18,9.31,9.08,9.08,12598600,9.08
"2014-01-16",9.24,9.29,8.96,9.03,19218200,9.03
"2014-01-17",9.23,9.25,8.93,8.97,24655600,8.97
"2014-01-21",9.07,9.14,8.92,9.04,13309600,9.04
"2014-01-22",9.1,9.13,9.05,9.07,12652700,9.07
"2014-01-23",8.99,9.04,8.89,8.92,10185400,8.92
"2014-01-24",8.87,8.92,8.37,8.4,21450200,8.4
"2014-01-27",8.47,9.02,8.47,8.87,27742100,8.87
"2014-01-28",8.91,9.01,8.86,8.86,13272900,8.86
"2014-01-29",8.53,8.68,8.25,8.65,23988800,8.65
"2014-01-30",8.73,8.77,8.35,8.39,13003800,8.39
"2014-01-31",8.36,8.43,8.16,8.27,17300200,8.27
"2014-02-03",8.19,8.32,7.81,7.85,25348300,7.85
"2014-02-04",7.9,7.98,7.66,7.84,23047200,7.84
"2014-02-05",7.76,8.73,7.42,8.5,58868600,8.5
"2014-02-06",8.14,8.23,7.79,7.88,25992600,7.88
"2014-02-07",7.91,8.18,7.91,8.02,15399100,8.02
"2014-02-10",7.88,7.91,7.5,7.69,31528000,7.69
"2014-02-11",8.24,8.32,7.78,7.9,44208300,7.9
"2014-02-12",8.12,8.18,7.98,8.07,14977000,8.07
"2014-02-13",7.99,8.53,7.97,8.41,32538100,8.41
"2014-02-14",8.44,8.45,8.3,8.4,9386100,8.4
"2014-02-18",8.4,8.43,8.14,8.2,15853600,8.2
"2014-02-19",8.17,8.26,8.14,8.16,6943600,8.16
"2014-02-20",8.12,8.29,8.12,8.27,8575900,8.27
"2014-02-21",8.26,8.71,8.21,8.29,19060500,8.29
"2014-02-24",8.33,8.54,8.32,8.4,14764000,8.4
"2014-02-25",8.37,8.5,8.22,8.27,13309400,8.27
"2014-02-26",8.27,8.42,8.15,8.39,12685800,8.39
"2014-02-27",8.33,8.72,8.32,8.65,13711200,8.65
"2014-02-28",8.66,8.77,8.53,8.74,14031400,8.74
"2014-03-03",8.53,8.85,8.4,8.83,17599200,8.83
"2014-03-04",8.99,9.22,8.95,9.19,22936300,9.19
"2014-03-05",9.17,9.38,8.99,9.12,23398700,9.12
"2014-03-06",9.16,9.25,8.74,8.88,19955800,8.88
"2014-03-07",8.91,8.98,8.55,8.63,13817700,8.63
"2014-03-10",8.52,8.73,8.4,8.71,18935800,8.71
"2014-03-11",8.8,8.91,8.67,8.78,19419900,8.78
"2014-03-12",8.72,8.81,8.66,8.78,12090300,8.78
"2014-03-13",8.8,8.83,8.5,8.62,14772800,8.62
"2014-03-14",8.56,8.86,8.47,8.78,16758600,8.78
"2014-03-17",8.79,8.8,8.64,8.77,11364400,8.77
